sample_ID,meanabsor,sd,n,se,meanvol,m,b,dilution,calc_conc_mg_ml,final_carb_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,carb_mg_mg,treatment,species
PSTR625_1,0.38433333333333336,0.013316656236958798,3,0.007688375063113871,14,0.8097568480950466,-0.19105530802129617,0.1,0.12016124059656674,0.16822573683519346,tissue,0.0196,12.8,14,0.0214375,0.007847264692020685,Transplant to NS,PSTR
PSTR64_1,0.35733333333333334,0.011547005383792526,3,0.006666666666666673,20,0.8097568480950466,-0.19105530802129617,0.1,0.09829780569800045,0.1965956113960009,tissue,0.02,18.8,20,0.02127659574,0.009239993737644841,NS Native,PSTR
PSTR68_1,0.31766666666666665,0.004041451884327384,3,0.0023333333333333353,20,0.8097568480950466,-0.19105530802129617,0.1,0.06617745072356362,0.13235490144712725,tissue,0.0208,18.8,20,0.022127659569999996,0.005981423431991424,Transplant to OS,PSTR
PSTRF30_1,0.6799999999999999,0.014798648586948755,3,0.008544003745317538,12.5,0.867211299501937,-0.21129861675239633,0.1,0.37840506690892073,0.4730063336361509,tissue,0.0443,11.3,12.5,0.04900442478,0.009652318862218281,na,PSTR
PSTRF46_1,0.4476666666666667,0.013051181300301242,3,0.007535103036971533,17,0.867211299501937,-0.21129861675239633,0.1,0.1769229749913042,0.30076905748521715,tissue,0.027,15.8,17,0.029050632910000002,0.010353270388876259,na,PSTR
PSTRS14_1,0.3436666666666666,0.012220201853215583,3,0.007055336829505581,20,0.867211299501937,-0.21129861675239633,0.1,0.08673299984310265,0.1734659996862053,tissue,0.0058000000000000005,18.8,20,0.006170212765999999,0.02811345512136353,na,PSTR
SSID118_1,0.8750000000000001,0.025980762113533118,3,0.014999999999999977,17,0.867211299501937,-0.21129861675239633,0.1,0.5475112703117986,0.9307691595300577,tissue,0.0245,15.8,17,0.026360759490000003,0.03530889009033091,OS Native,SSID
SSID123_1,0.6243333333333333,0.011239810200058252,3,0.006489307444643933,20,0.867211299501937,-0.21129861675239633,0.1,0.3301303045699796,0.6602606091399592,tissue,0.029099999999999997,18.8,20,0.030957446810000004,0.02132800592995541,Transplant to NS,SSID
SSID15_1,0.42700000000000005,0.01734935157289749,3,0.010016652800877823,18,0.867211299501937,-0.21129861675239633,0.1,0.1590006081349308,0.28620109464287546,tissue,0.0116,16.8,18,0.012428571429999999,0.023027674278963815,NS Native,SSID
SSID418_1,0.615,0.013076696830622032,3,0.007549834435270756,14,0.867211299501937,-0.21129861675239633,0.1,0.3220363324412949,0.45085086541781294,tissue,0.012,12.8,14,0.013125,0.03435054212707146,OS Native,SSID
SSID42_1,1.004,0.01609347693943104,3,0.009291573243177545,18,0.9921099606133263,-0.2410392496109321,0.067,0.7550391508448475,0.9105772159188861,tissue,0.0567,16.650000000000002,18,0.0612972973,0.014855095673506735,NS Native,SSID
SSID423_1,1.203,0.06509224224129936,3,0.03758102358017052,12.5,0.867211299501937,-0.21129861675239633,0.1,0.8319565765484339,1.0399457206855425,tissue,0.0245,11.3,12.5,0.02710176991,0.038371874757221064,Transplant to NS,SSID
SSID517_1,0.4836666666666667,0.019553345834749943,3,0.011289129481250727,17,0.867211299501937,-0.21129861675239633,0.1,0.20814258177337389,0.35384238901473564,tissue,0.0122,15.8,17,0.01312658228,0.02695617042326844,OS Native,SSID
SSID518_1,1.135,0.053329166503893584,3,0.030789608636681336,15,0.867211299501937,-0.21129861675239633,0.1,0.7729862081823021,1.1594793122734532,tissue,0.026900000000000004,13.8,15,0.029239130429999993,0.039655054552641615,OS Native,SSID
SSID524_1,0.2876666666666667,0.007505553499465142,3,0.0043333333333333375,20,0.867211299501937,-0.21129861675239633,0.1,0.038169167070994214,0.07633833414198843,tissue,0.0317,18.8,20,0.03372340426,0.0022636603811832497,Transplant to NS,SSID
SSID54_1,0.5740000000000001,0.011357816691600518,3,0.006557438524301984,20,0.867211299501937,-0.21129861675239633,0.1,0.28648066916171555,0.5729613383234311,tissue,0.0248,18.8,20,0.026382978720000005,0.02171708298764193,NS Native,SSID
SSID615_1,0.6923333333333332,0.019008769905844356,3,0.010974718422102897,20,0.867211299501937,-0.21129861675239633,0.1,0.3891006729361113,0.7782013458722226,tissue,0.0177,18.8,20,0.018829787229999995,0.04132820707779303,OS Native,SSID
SSID617_1,0.47933333333333333,0.03412232895529456,3,0.019700535807716277,18,0.867211299501937,-0.21129861675239633,0.1,0.20438466614219877,0.3678923990559578,tissue,0.0145,16.8,18,0.015535714289999999,0.023680430277529117,OS Native,SSID
SSID624_1,0.4773333333333334,0.014571661996262942,3,0.00841295297608265,20,0.867211299501937,-0.21129861675239633,0.1,0.20265024354319497,0.40530048708638994,tissue,0.0134,18.8,20,0.014255319150000001,0.02843152670393843,Transplant to NS,SSID
