sample_ID,meanabsor,sd,n,se,meanvol,m,b,calc_conc,final_protein_ug,final_protein_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,total_dry_weight_mg,protein_mg_mg,treatment,species,transplant_envir,home_envir
PSTR625_1,0.5913333333333333,0.00802080627701065,3,0.004630814663149939,14,1976.897,-795.9618,373.0432926666665,5222.6060973333315,5.2226060973333315,tissue,0.0196,12.8,14,0.0214375,21.4375,0.24362010949659854,Transplant to NS,PSTR,Nearshore,Offshore coral
PSTR64_1,0.5436666666666667,0.009609023536933058,3,0.005547772325697751,20,1976.897,-795.9618,278.8112023333333,5576.224046666666,5.576224046666666,tissue,0.02,18.8,20,0.02127659574,21.27659574,0.26208253025099143,NS Native,PSTR,Nearshore,Nearshore coral
PSTR68_1,0.444,0.006928203230275515,3,0.0040000000000000036,20,1976.897,-795.9618,81.78046799999993,1635.6093599999986,1.6356093599999986,tissue,0.0208,18.8,20,0.022127659569999996,22.127659569999995,0.07391696147646395,Transplant to OS,PSTR,Offshore,Nearshore coral
SSID118_1,0.5086666666666667,0.011372481406154664,3,0.00656590520119741,17,2247.697,-834.2771,309.05144066666685,5253.874491333337,5.253874491333336,tissue,0.0245,15.8,17,0.026360759490000003,26.360759490000003,0.19930664339646217,OS Native,SSID,Offshore,Offshore coral
SSID123_1,0.5233333333333333,0.047606022028030624,3,0.027485349632930735,20,2247.697,-834.2771,342.0176633333333,6840.353266666666,6.840353266666666,tissue,0.029099999999999997,18.8,20,0.030957446810000004,30.957446810000004,0.2209598649607327,Transplant to NS,SSID,Nearshore,Offshore coral
SSID15_1,0.43133333333333335,0.018448125469362274,3,0.010651030205780301,18,2247.697,-834.2771,135.22953933333338,2434.131708000001,2.4341317080000007,tissue,0.0116,16.8,18,0.012428571429999999,12.428571429999998,0.19584967763266103,NS Native,SSID,Nearshore,Nearshore coral
SSID418_1,0.42200000000000004,0.014000000000000012,3,0.008082903768654769,14,2247.697,-834.2771,114.25103400000012,1599.5144760000017,1.5995144760000017,tissue,0.012,12.8,14,0.013125,13.125,0.12186776960000013,OS Native,SSID,Offshore,Offshore coral
SSID42_1,0.6406666666666666,0.0362537354397217,3,0.0209311039152528,18,2247.697,-834.2771,605.7474446666665,10903.454003999997,10.903454003999997,tissue,0.0567,16.650000000000002,18,0.0612972973,61.2972973,0.17787821787046387,NS Native,SSID,Nearshore,Nearshore coral
SSID423_1,0.506,0.01670329308849005,3,0.009643650760992946,12.5,2247.697,-834.2771,303.05758200000014,3788.219775000002,3.7882197750000017,tissue,0.0245,11.3,12.5,0.02710176991,27.10176991,0.13977757864449383,Transplant to NS,SSID,Nearshore,Offshore coral
SSID517_1,0.4083333333333334,0.006027713773341714,3,0.0034801021696368537,17,2247.697,-834.2771,83.53250833333345,1420.0526416666687,1.4200526416666688,tissue,0.0122,15.8,17,0.01312658228,13.126582280000001,0.10818144520606081,OS Native,SSID,Offshore,Offshore coral
SSID518_1,0.48233333333333334,0.01871719352182193,3,0.01080637671829821,15,2247.697,-834.2771,249.8620863333333,3747.9312949999994,3.7479312949999994,tissue,0.026900000000000004,13.8,15,0.029239130429999993,29.239130429999992,0.12818203687598517,OS Native,SSID,Offshore,Offshore coral
SSID524_1,0.5486666666666667,0.01594783161854093,3,0.00920748487795543,20,2247.697,-834.2771,398.9593206666668,7979.1864133333365,7.979186413333337,tissue,0.0317,18.8,20,0.03372340426,33.72340426,0.23660678951079703,Transplant to NS,SSID,Nearshore,Offshore coral
SSID54_1,0.5396666666666667,0.024027761721253486,3,0.013872434697789886,20,2247.697,-834.2771,378.7300476666669,7574.600953333338,7.574600953333338,tissue,0.0248,18.8,20,0.026382978720000005,26.382978720000004,0.2871018103650025,NS Native,SSID,Nearshore,Nearshore coral
SSID615_1,0.4183333333333334,0.012096831541082714,3,0.006984108946585661,20,2247.697,-834.2771,106.0094783333335,2120.18956666667,2.12018956666667,tissue,0.0177,18.8,20,0.018829787229999995,18.829787229999994,0.11259763802794019,OS Native,SSID,Offshore,Offshore coral
SSID617_1,0.38666666666666666,0.011590225767142484,3,0.006691619966628251,18,2247.697,-834.2771,34.83240666666666,626.9833199999998,0.6269833199999998,tissue,0.0145,16.8,18,0.015535714289999999,15.53571429,0.04035754702334963,OS Native,SSID,Offshore,Offshore coral
SSID624_1,0.5646666666666668,0.0037859388972001857,3,0.0021858128414340024,20,989.928,-39.064,519.9153440000001,10398.306880000002,10.398306880000002,tissue,0.0134,18.8,20,0.014255319150000001,14.255319150000002,0.7294334676470572,Transplant to NS,SSID,Nearshore,Offshore coral
SSIDF18_1,0.41900000000000004,0.02088061301782112,3,0.012055427546683428,19,2247.697,-834.2771,107.50794300000007,2042.6509170000013,2.0426509170000013,tissue,0.011399999999999999,17.8,19,0.01216853933,12.16853933,0.16786327936370332,NS Native,SSID,Nearshore,Nearshore coral
SSIDF3_1,0.5333333333333333,0.02821937868439585,3,0.016292465879799933,16,2247.697,-834.2771,364.49463333333347,5831.9141333333355,5.831914133333336,tissue,0.0258,14.8,16,0.02789189189,27.89189189,0.2090899447170249,NS Native,SSID,Nearshore,Nearshore coral
