sample_ID,meanabsor,sd,n,se,meanvol,m,b,dilution,calc_conc_mg_ml,final_lipid_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,lipid_mg_mg,treatment,species
PSTRS14_1,0.035666666666666666,0.0025166114784235818,3,0.001452966314513557,20,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.043575615765281364,1.975427914692755,tissue,0.0058000000000000005,18.8,20,0.006170212765999999,0.32015555858592826,na,PSTR
SSID118_1,0.05733333333333333,0.010214368964029701,3,0.005897268670984707,17,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.08170048740014257,3.148192114485494,tissue,0.0245,15.8,17,0.026360759490000003,0.11942721588426788,OS Native,SSID
SSID123_1,0.018333333333333333,0.006506407098647712,3,0.0037564758898615486,20,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.013075718457392391,0.5927659034017884,tissue,0.029099999999999997,18.8,20,0.030957446810000004,0.0191477645763187,Transplant to NS,SSID
SSID15_1,0.023666666666666666,0.011846237095944574,3,0.006839428176227731,18,1.342227080588043,0.009980551429267206,2.2666666666666666,0.04174659233651755,1.703260967329916,tissue,0.0116,16.8,18,0.012428571429999999,0.1370439858613675,NS Native,SSID
SSID418_1,0.030333333333333334,0.015631165450257806,3,0.009024657580453923,14,1.342227080588043,0.009980551429267206,2.2666666666666666,0.05069477287377118,1.6087141258610054,tissue,0.012,12.8,14,0.013125,0.12256869530369564,OS Native,SSID
SSID42_1,0.019666666666666666,0.010692676621563627,3,0.006173419725817379,18,1.342227080588043,0.009980551429267206,2.2666666666666666,0.036377684014165385,1.4842095077779478,tissue,0.0567,16.650000000000002,18,0.0612972973,0.024213294437990626,NS Native,SSID
SSID423_1,0.033666666666666664,0.009865765724632495,3,0.005696002496878355,12.5,1.342227080588043,0.009980551429267206,2.2666666666666666,0.05516886314239798,1.5631177890346095,tissue,0.0245,11.3,12.5,0.02710176991,0.057675856382274536,Transplant to NS,SSID
SSID517_1,0.036,0.0324499614791759,3,0.018734993995195192,17,1.342227080588043,0.009980551429267206,2.2666666666666666,0.058300726330436745,2.2465213212661626,tissue,0.0122,15.8,17,0.01312658228,0.17114289716440664,OS Native,SSID
SSID518_1,0.036000000000000004,0.01345362404707371,3,0.0077674534651540296,15,1.342227080588043,0.009980551429267206,2.2666666666666666,0.05830072633043676,1.98222469523485,tissue,0.026900000000000004,13.8,15,0.029239130429999993,0.06779355836112841,OS Native,SSID
SSID524_1,0.029333333333333333,0.0037859388972001817,3,0.002185812841434,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.04935254579318313,2.2373154092909684,tissue,0.0317,18.8,20,0.03372340426,0.06634310676471926,Transplant to NS,SSID
SSID54_1,0.024333333333333335,0.025501633934580218,3,0.014723375216905185,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.042641410390242926,1.933077271024346,tissue,0.0248,18.8,20,0.026382978720000005,0.07326986431440921,NS Native,SSID
SSID615_1,0.03266666666666666,0.005686240703077326,3,0.003282952600598701,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.05382663606180994,2.4401408348020506,tissue,0.0177,18.8,20,0.018829787229999995,0.1295894002941451,OS Native,SSID
SSID617_1,0.009666666666666667,0.006658328118479394,3,0.0038441875315569324,18,1.342227080588043,0.009980551429267206,2.2666666666666666,0.022955413208284953,0.936580858898026,tissue,0.0145,16.8,18,0.015535714289999999,0.060285664464161955,OS Native,SSID
SSID624_1,0.010666666666666668,0.020599352740640505,3,0.011893041849940852,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.024297640288872997,1.1014930264289091,tissue,0.0134,18.8,20,0.014255319150000001,0.07726891378850041,Transplant to NS,SSID
SSIDF18_1,0.060000000000000005,0.013000000000000005,3,0.007505553499465138,19,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.08639277929366396,3.720649028247128,tissue,0.011399999999999999,17.8,19,0.01216853933,0.30575970766469374,NS Native,SSID
SSIDF20_3,0.04133333333333334,0.03214550253664319,3,0.018559214542766742,15,1.342227080588043,0.009980551429267206,2.2666666666666666,0.06545927076023966,2.225615205848148,tissue,0.051300000000000005,13.65,15,0.056373626370000006,0.039479723926941476,na,SSID
SSIDF3_1,0.0232,0.0015874507866387559,3,9.16515138991169e-4,16,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.021639151163068904,0.7847798821806322,tissue,0.0258,14.8,16,0.02789189189,0.0281364880258265,NS Native,SSID
SSIDS23_1,0.034333333333333334,0.010503967504392486,3,0.006064468466220083,17,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.04122946981852067,1.5887089036736632,tissue,0.0356,15.8,17,0.038303797470000005,0.04147653780067,na,SSID
SSIDS5_1,0.033666666666666664,0.0072341781380702375,3,0.004176654695380558,18,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.04005639684514031,1.6343009912817246,tissue,0.0258,16.8,18,0.027642857139999998,0.059121999690720996,na,SSID
