timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T1,3/6/18,PSTR 5 19,PSTR,P5,19,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 5 19,PSTR,P5,19,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,PSTR 5 19,PSTR,P5,19,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 5 19,PSTR,P5,19,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 23,PSTR,P5,23,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 5 23,PSTR,P5,23,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 5 23,PSTR,P5,23,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 5 23,PSTR,P5,23,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 23,PSTR,P5,23,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 24,PSTR,P5,24,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 5 24,PSTR,P5,24,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 5 24,PSTR,P5,24,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 5 24,PSTR,P5,24,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 24,PSTR,P5,24,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 25,PSTR,P5,25,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 5 25,PSTR,P5,25,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 5 25,PSTR,P5,25,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 5 25,PSTR,P5,25,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 25,PSTR,P5,25,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 5 4,PSTR,P5,4,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 5 4,PSTR,P5,4,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 5 4,PSTR,P5,4,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 5 4,PSTR,P5,4,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 5 4,PSTR,P5,4,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 5 5,PSTR,P5,5,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 5 5,PSTR,P5,5,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 5 5,PSTR,P5,5,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 5 5,PSTR,P5,5,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 5 5,PSTR,P5,5,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 5 6,PSTR,P5,6,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 5 6,PSTR,P5,6,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 5 6,PSTR,P5,6,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 5 6,PSTR,P5,6,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 5 6,PSTR,P5,6,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 5 7,PSTR,P5,7,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,NA
T1,3/7/18,PSTR 5 7,PSTR,P5,7,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,NA
T2,9/26/18,PSTR 5 7,PSTR,P5,7,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,NA
T3,5/31/19,PSTR 5 7,PSTR,P5,7,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,NA
T4,8/10/23,PSTR 5 7,PSTR,P5,7,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,60,0,NA
T0,12/11/17,PSTR 5 8,PSTR,P5,8,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 5 8,PSTR,P5,8,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 5 8,PSTR,P5,8,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 5 8,PSTR,P5,8,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 8,PSTR,P5,8,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 5 9,PSTR,P5,9,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,17
T1,3/7/18,PSTR 5 9,PSTR,P5,9,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,17
T2,9/26/18,PSTR 5 9,PSTR,P5,9,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,17
T3,5/31/19,PSTR 5 9,PSTR,P5,9,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,17,1,17
T4,NA,PSTR 5 9,PSTR,P5,9,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,17
T0,12/11/17,PSTR 6 1,PSTR,P6,1,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 6 1,PSTR,P6,1,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 6 1,PSTR,P6,1,NSP6,NS,NS,False Caye,False Caye,NS Native,Y,N,alive,9,0,60
T3,5/30/19,PSTR 6 1,PSTR,P6,1,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 1,PSTR,P6,1,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 6 10,PSTR,P6,10,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 6 10,PSTR,P6,10,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 10,PSTR,P6,10,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 6 10,PSTR,P6,10,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 6 10,PSTR,P6,10,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,17,0,60
T4,NA,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,dead,60,1,60
T0,12/12/17,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,9,0,60
T3,5/31/19,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 17,PSTR,P6,17,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 6 17,PSTR,P6,17,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 17,PSTR,P6,17,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,9,0,60
T3,5/31/19,PSTR 6 17,PSTR,P6,17,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 17,PSTR,P6,17,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 18,PSTR,P6,18,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 6 18,PSTR,P6,18,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 18,PSTR,P6,18,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 6 18,PSTR,P6,18,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 18,PSTR,P6,18,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 19,PSTR,P6,19,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 6 19,PSTR,P6,19,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 19,PSTR,P6,19,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 6 19,PSTR,P6,19,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 19,PSTR,P6,19,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 6 2,PSTR,P6,2,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 6 2,PSTR,P6,2,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 6 2,PSTR,P6,2,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T0,12/12/17,PSTR 6 20,PSTR,P6,20,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,NA
T1,3/9/18,PSTR 6 20,PSTR,P6,20,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,NA
T0,12/12/17,PSTR 6 21,PSTR,P6,21,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,
T1,3/9/18,PSTR 6 21,PSTR,P6,21,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,
T2,9/25/18,PSTR 6 21,PSTR,P6,21,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,
T0,12/12/17,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 23,PSTR,P6,23,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 6 23,PSTR,P6,23,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 6 23,PSTR,P6,23,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 6 23,PSTR,P6,23,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 6 23,PSTR,P6,23,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 24,PSTR,P6,24,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 6 24,PSTR,P6,24,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 6 24,PSTR,P6,24,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 6 24,PSTR,P6,24,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 6 24,PSTR,P6,24,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 6 25,PSTR,P6,25,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,NA
T1,3/9/18,PSTR 6 25,PSTR,P6,25,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,NA
T2,9/25/18,PSTR 6 25,PSTR,P6,25,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,NA
T3,5/29/19,PSTR 6 25,PSTR,P6,25,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,NA
T4,8/8/23,PSTR 6 25,PSTR,P6,25,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,60,0,NA
T0,12/11/17,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,Y,N,alive,9,0,60
T3,5/30/19,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 6 4,PSTR,P6,4,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 6 4,PSTR,P6,4,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 6 4,PSTR,P6,4,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 6 4,PSTR,P6,4,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 6 4,PSTR,P6,4,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 6 5,PSTR,P6,5,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 6 5,PSTR,P6,5,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 6 5,PSTR,P6,5,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 6 5,PSTR,P6,5,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 6 5,PSTR,P6,5,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 6 6,PSTR,P6,6,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 6 6,PSTR,P6,6,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 6 6,PSTR,P6,6,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 6 6,PSTR,P6,6,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 6 6,PSTR,P6,6,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 6 8,PSTR,P6,8,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,NA
T1,3/7/18,PSTR 6 8,PSTR,P6,8,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,NA
T2,9/26/18,PSTR 6 8,PSTR,P6,8,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,NA
T3,5/31/19,PSTR 6 8,PSTR,P6,8,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,17,0,NA
T4,8/10/23,PSTR 6 8,PSTR,P6,8,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,60,0,NA
T0,12/11/17,PSTR 6 9,PSTR,P6,9,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 6 9,PSTR,P6,9,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 6 9,PSTR,P6,9,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 6 9,PSTR,P6,9,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 6 9,PSTR,P6,9,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/10/17,SSID 1 10,SSID,S1,10,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,9
T1,3/7/18,SSID 1 10,SSID,S1,10,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,Y,alive,3,0,9
T2,9/26/18,SSID 1 10,SSID,S1,10,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,9,1,9
T3,,SSID 1 10,SSID,S1,10,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,17,1,9
T4,NA,SSID 1 10,SSID,S1,10,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,9
T0,12/10/17,SSID 1 11,SSID,S1,11,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,17
T1,3/7/18,SSID 1 11,SSID,S1,11,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,17
T2,9/26/18,SSID 1 11,SSID,S1,11,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,9,0,17
T3,,SSID 1 11,SSID,S1,11,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,17,1,17
T4,NA,SSID 1 11,SSID,S1,11,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,17
T0,12/13/17,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,3,0,60
T2,9/26/18,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/13/17,SSID 1 17,SSID,S1,17,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,SSID 1 17,SSID,S1,17,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,Y,alive,3,0,NA
T2,9/26/18,SSID 1 17,SSID,S1,17,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,SSID 1 17,SSID,S1,17,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,SSID 1 17,SSID,S1,17,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/13/17,SSID 1 18,SSID,S1,18,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,SSID 1 18,SSID,S1,18,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,3,0,NA
T2,9/26/18,SSID 1 18,SSID,S1,18,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,9,0,NA
T3,5/31/19,SSID 1 18,SSID,S1,18,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,17,0,NA
T4,8/10/23,SSID 1 18,SSID,S1,18,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,60,0,NA
T0,12/13/17,SSID 1 19,SSID,S1,19,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,SSID 1 19,SSID,S1,19,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,3,0,NA
T2,9/26/18,SSID 1 19,SSID,S1,19,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,SSID 1 19,SSID,S1,19,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,SSID 1 19,SSID,S1,19,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/13/17,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/13/17,SSID 1 23,SSID,S1,23,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,NA
T1,3/9/18,SSID 1 23,SSID,S1,23,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,NA
T2,9/25/18,SSID 1 23,SSID,S1,23,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,NA
T3,5/29/19,SSID 1 23,SSID,S1,23,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,NA
T4,8/8/23,SSID 1 23,SSID,S1,23,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,60,0,NA
T0,12/13/17,SSID 1 24,SSID,S1,24,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,SSID 1 24,SSID,S1,24,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,SSID 1 24,SSID,S1,24,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,SSID 1 24,SSID,S1,24,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,SSID 1 24,SSID,S1,24,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
