timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T0,12/11/17,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,Y,alive,3,0,NA
T2,9/24/18,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,Y,N,alive,17,0,NA
T4,8/8/23,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,Y,N,alive,60,0,NA
T0,12/11/17,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 10,PSTR,P2,10,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 2 10,PSTR,P2,10,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 10,PSTR,P2,10,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,9,0,60
T3,5/31/19,PSTR 2 10,PSTR,P2,10,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 2 10,PSTR,P2,10,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 14,PSTR,P2,14,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 14,PSTR,P2,14,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 14,PSTR,P2,14,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 14,PSTR,P2,14,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 14,PSTR,P2,14,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 15,PSTR,P2,15,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 15,PSTR,P2,15,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 15,PSTR,P2,15,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 15,PSTR,P2,15,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 15,PSTR,P2,15,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 17,PSTR,P2,17,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 17,PSTR,P2,17,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 17,PSTR,P2,17,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 17,PSTR,P2,17,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 17,PSTR,P2,17,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 18,PSTR,P2,18,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 18,PSTR,P2,18,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 18,PSTR,P2,18,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
