timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T1,3/6/2018,PSTR 6 19,PSTR,OS,OS,OS Native,alive,19.91914763,0.005773503,0.004082483
T1,3/9/2018,PSTR 6 20,PSTR,OS,NS,NS Transplant,alive,21.11524059,0.005773503,0.004082483
T1,3/9/2018,PSTR 6 21,PSTR,OS,NS,NS Transplant,alive,11.9204287,0.011547005,0.008164966
T1,3/9/2018,PSTR 6 22,PSTR,OS,NS,NS Transplant,alive,16.53607174,0.005773503,0.004082483
T1,3/9/2018,PSTR 6 23,PSTR,OS,NS,NS Transplant,alive,14.58304462,0.01,0.007071068
T1,3/9/2018,PSTR 6 24,PSTR,OS,NS,NS Transplant,alive,30.40621172,0.011547005,0.008164966
T1,3/9/2018,PSTR 6 25,PSTR,OS,NS,NS Transplant,alive,14.21830271,0.005773503,0.004082483
T1,3/8/2018,SSID 1 1,SSID,NS,NS,NS Native,alive,30.07333333,0.005773503,0.004082483
T1,3/8/2018,SSID 1 2,SSID,NS,NS,NS Native,alive,19.74333333,0.005773503,0.004082483
T1,3/8/2018,SSID 1 3,SSID,NS,NS,NS Native,alive,23.5,0,0
T1,3/8/2018,SSID 1 4,SSID,NS,NS,NS Native,alive,18.76,0,0
T1,3/8/2018,SSID 1 5,SSID,NS,NS,NS Native,alive,20.02666667,0.005773503,0.004082483
T1,3/8/2018,SSID 1 6,SSID,NS,NS,NS Native,alive,26.37333333,0.011547005,0.008164966
T1,3/7/2018,SSID 1 7,SSID,NS,OS,OS Transplant,alive,19.22261404,0.015275252,0.008819171
T1,3/7/2018,SSID 1 8,SSID,NS,OS,OS Transplant,dead,10.33273684,0,0
T1,3/7/2018,SSID 1 9,SSID,NS,OS,OS Transplant,alive,13.9199386,0.005773503,0.004082483
T1,3/7/2018,SSID 1 10,SSID,NS,OS,OS Transplant,alive,14.00305263,0,0
T1,3/7/2018,SSID 1 11,SSID,NS,OS,OS Transplant,alive,19.02646491,0.005773503,0.004082483
T1,3/7/2018,SSID 1 12,SSID,NS,OS,OS Transplant,alive,32.04544737,0,0
T1,3/6/2018,SSID 1 14,SSID,OS,OS,OS Native,alive,22.82628722,0.005773503,0.004082483
T1,3/6/2018,SSID 1 15,SSID,OS,OS,OS Native,alive,12.51496497,0,0
T1,3/6/2018,SSID 1 16,SSID,OS,OS,OS Native,alive,18.03402802,0.005773503,0.004082483
